"chemical","cas"
"741-58-2","II"
"756-09-2","U"
"759-94-4","II"
"786-19-6","O"
"834-12-8","II"
"841-06-5","O"
"886-50-0","III"
"900-95-8","II"
"919-76-6","O"
"919-86-8","Ib"
"944-22-9","O"
"947-02-4","O"
"950-10-7","O"
"950-37-8","Ib"
"957-51-7","II"
"973-21-7","II"
"991-42-4","O"
"999-81-5","II"
"1014-69-3","O"
"1014-70-6","II"
"1031-47-6","O"
"1071-83-6","III"
"1085-98-9","U"
"1086-02-8","O"
"1113-02-6","Ib"
"1114-71-2","II"
"1129-41-5","II"
"1134-23-2","III"
"1194-65-6","III"
"1303-96-4","III"
"1314-84-7","Ib"
"1317-39-1","II"
"1327-53-3","O"
"1332-40-7","II"
"1420-06-0","O"
"1420-07-1","Ib"
"1468-37-7","O"
"1563-66-2","Ib"
"1582-09-8","U"
"1593-77-7","III"
"1596-84-5","U"
"1610-17-9","O"
"1610-18-0","III"
"1646-88-4","O"
"1689-83-4","II"
"1689-84-5","II"
"1698-60-8","III"
"1702-17-6","III"
"1715-40-8","O"
"1746-81-2","III"
"1754-58-1","O"
"1836-75-5","III"
"1836-77-7","O"
"1861-32-1","III"
"1861-40-1","U"
"1897-45-6","U"
"1912-24-9","III"
"1912-25-0","O"
"1912-26-1","III"
"1918-00-9","II"
"6607","U"
"6881","O"
"1918-13-4","II"
"1918-16-7","II"
"1918-18-9","O"
"1929-77-7","II"
"1929-82-4","II"
"1929-88-0","O"
"1967-16-4","O"
"1982-47-4","III"
"1982-49-6","U"
"2008-41-5","III"
"2032-59-9","O"
"2032-65-7","Ib"
"2079-00-7","Ib"
"2104-64-5","Ia"
"2104-96-3","II"
"2163-69-1","O"
"96639","U"
"96671","O"
"2164-17-2","U"
"2212-67-1","II"
"2227-13-6","O"
"2227-17-0","III"
"2274-74-0","O"
"2275-14-1","O"
"2275-18-5","O"
"2275-23-2","Ib"
"2303-16-4","O"
"2303-17-5","III"
"2307-49-5","O"
"2307-68-8","U"
"2310-17-0","II"
"2312-35-8","III"
"2312-76-7","Ib"
"2385-85-5","O"
"191906","Ia"
"192034","II"
"196869","III"
"197143","II"
"2439-99-8","O"
"2464-37-1","U"
"214405","O"
"218239","O"
"2514-53-6","O"
"2540-82-1","II"
"2550-75-6","O"
"2587-90-8","O"
"2593-15-9","III"
"2595-54-2","Ib"
"254642","II"
"2631-37-0","O"
"2631-40-5","II"
"2636-26-2","II"
"2642-71-9","Ib"
"2655-14-3","II"
"2655-19-8","O"
"2669-32-1","O"
"2674-91-1","O"
"2675-77-6","U"
"2693-61-0","O"
"2699-79-8","FM"
"2759-71-9","O"
"2764-72-9","II"
"320777","O"
"2797-51-5","II"
"2813-95-8","O"
"2921-88-2","II"
"2941-55-1","O"
"2980-64-5","1b"
"3060-89-7","III"
"451045","O"
"3337-71-1","III"
"3347-22-6","II"
"3383-96-8","III"
"3495-42-9","O"
"3547-33-9","U"
"3689-24-5","Ia"
"3691-35-8","Ia"
"3734-95-0","O"
"3737-22-2","U"
"3740-92-9","U"
"3766-60-7","O"
"3766-81-2","II"
"3792-59-4","O"
"3811-49-2","O"
"698836","III"
"3861-47-0","II"
"3878-19-1","II"
"4104-14-7","O"
"4147-51-7","O"
"4151-50-2","II"
"4234-79-1","O"
"4301-50-2","O"
"4482-55-7","O"
"4489-31-0","O"
"4636-83-3","O"
"4658-28-0","O"
"4685-14-7","II"
"4726-14-1","O"
"4824-78-6","Ib"
"4849-32-5","O"
"5131-24-8","O"
"5221-53-4","III"
"5234-68-4","III"
"5259-88-1","III"
"5598-13-0","III"
"5707-69-7","O"
"5787-96-2","1b"
"1434432","O"
"5834-96-8","O"
"1437871","O"
"5836-29-3","Ib"
"5902-51-2","U"
"5915-41-3","III"
"6164-98-3","O"
"6392-46-7","O"
"6616-80-4","O"
"6923-22-4","Ib"
"6988-21-2","O"
"7055-03-0","O"
"7085-19-0","II"
"7159-99-1","O"
"7287-19-6","III"
"7287-36-7","III"
"7292-16-2","O"
"7446-18-6","Ib"
"7487-94-7","Ia"
"7681-49-4","II"
"7681-93-8","III"
"7696-12-0","U"
"7700-17-6","O"
"7704-34-9","III"
"7758-98-7","II"
"7773-06-0","III"
"2146053","II"
"7778-44-1","Ib"
"7784-40-9","Ib"
"7784-46-5","Ib"
"7786-34-7","Ia"
"7803-51-2","FM"
"8001-35-2","O"
"2229198","O"
"8003-34-7","II"
"2234562","U"
"8047-13-0","O"
"8065-36-9","O"
"9006-42-2","U"
"10004-44-1","III"
"10112-91-1","II"
"10265-92-6","Ib"
"10311-84-9","O"
"10380-28-6","U"
"10453-86-8","III"
"10537-47-0","O"
"10552-74-6","U"
"10605-21-7","U"
"12002-03-8","Ib"
"12057-74-8","FM"
"12071-83-9","U"
"12122-67-7","U"
"12407-86-2","O"
"12427-38-2","U"
"12771-68-5","III"
"13067-93-1","O"
"13071-79-9","Ia"
"13121-70-5","II"
"13171-21-6","Ia"
"13181-17-4","II"
"13194-48-4","Ia"
"13356-08-6","III"
"13360-45-7","O"
"13457-18-6","II"
"13516-27-3","II"
"13577-71-4","O"
"13593-03-8","II"
"13598-36-2","U"
"13684-56-5","U"
"13684-63-4","U"
"13952-84-6","II"
"14214-32-5","O"
"14255-88-0","O"
"14437-17-3","O"
"14484-64-1","U"
"14491-59-9","O"
"14750-35-4","U"
"14816-18-3","II"
"14816-20-7","O"
"15096-52-3","U"
"15263-53-3","II"
"15299-99-7","U"
"15302-91-7","II"
"15310-01-7","U"
"15457-05-3","U"
"15545-48-9","U"
"15845-66-2","U"
"15879-93-3","II"
"15972-60-8","II"
"16118-49-3","U"
"16484-77-8","II"
"16672-87-0","III"
"16752-77-5","Ib"
"16893-85-9","O"
"17029-22-0","O"
"17040-19-6","O"
"17109-49-8","Ib"
"17606-31-4","II"
"17804-35-2","U"
"18181-70-9","O"
"18181-80-1","U"
"18467-77-1","U"
"18530-56-8","O"
"18691-97-9","III"
"18854-01-8","Ib"
"19044-88-3","U"
"19408-46-9","U"
"19666-30-9","U"
"19691-80-6","O"
"19937-59-8","III"
"20354-26-1","O"
"20427-59-2","II"
"20859-73-8","FM"
"21087-64-9","II"
"21452-18-6","O"
"21540-35-2","O"
"21548-32-3","O"
"21609-90-5","O"
"21725-46-2","II"
"21908-53-2","Ib"
"21923-23-9","O"
"22212-55-1","O"
"22224-92-6","Ib"
"22248-79-9","III"
"22259-30-9","Ib"
"22571-07-9","O"
"22781-23-3","II"
"22936-75-0","III"
"23031-36-9","II"
"23103-98-2","II"
"23135-22-0","Ia"
"23184-66-9","III"
"23505-41-1","O"
"23560-59-0","Ib"
"23564-05-8","U"
"23564-06-9","O"
"23783-98-4","Ia"
"23947-60-6","U"
"23950-58-5","U"
"24017-47-8","Ib"
"24151-93-7","II"
"24201-58-9","O"
"24353-58-0","O"
"24579-73-5","U"
"24691-76-7","O"
"24691-80-3","U"
"24934-91-6","Ia"
